type,date,total,restaurant
Uber Eats,2 mars 2023,24.25,Tutti Frutti (St-Léonard)
Uber Eats,17 février 2023,34.56,Épicerie traiteur le Dakar
Uber Eats,29 décembre 2022,47.55,Mbia Grill
Uber Eats,26 mars 2023,22.94,McDonald's (Tetreaultville)
Uber Eats,19 février 2023,56.01,Mbia Grill
Uber Eats,17 janvier 2023,34.06,Mbia Grill
Uber Eats,19 février 2023,36.34,B&M (Saint-Viateur)
Uber Eats,19 avril 2023,33.81,Baguette Brochette (Saint-Denis)
Uber Eats,14 avril 2023,52.50,Resto Bar 30 Juin
Uber Eats,23 mars 2023,109.64,Resto Bar 30 Juin
Uber Eats,28 janvier 2023,34.68,Radikal Dezzertz
Uber Eats,4 janvier 2023,20.24,Mbia Grill
Uber Eats,23 février 2023,40.48,Resto Bar 30 Juin
Uber Eats,25 janvier 2023,42.38,Resto Bar 30 Juin
Uber Eats,11 mars 2023,39.90,Mbia Grill
Uber Eats,24 mars 2023,33.30,B&M (Saint-Viateur)
Uber Eats,25 mars 2023,22.14,McDonald's (Tetreaultville)
